CONCEPT				POLARITY		INTENSITY
broadcast_television		positive		0.045
broadcaster			positive		0.045
broadcloth			negative		-0.67
broaden				positive		0.931
broaden_horizon			positive		0.358
broader				positive		0.738
broader_context			positive		0.16
broader_deficit_reduction	negative		-0.86
broader_definition		positive		0.943
broader_impact			positive		0.996
broader_perspective		positive		0.16
broadest			positive		0.051
broadest_possible		positive		0.051
broadleaf_evergreen		negative		-0.79
broadleaf_woodland		negative		-0.74
broadleaved_woodland		negative		-0.74
broadly				negative		-0.85
broadly_applicable		positive		0.051
broadly_similar			positive		0.165
broadly_speaking		negative		-0.85
broadsheet			positive		0.036
broadsheet_newspaper		positive		0.036
broadside_begin			negative		-0.71
broadsword			positive		0.861
broadway_credit			positive		0.032
broadway_musical		positive		0.066
broadway_play			negative		-0.10
brobdingnagian			positive		0.859
broca_aphasia			negative		-0.88
brocas_aphasia			negative		-0.88
broccoli			negative		-0.02
broccoli_floret			negative		-0.03
broccoli_rabe			negative		-0.05
brochure			positive		0.049
brockwell_park			positive		0.721
broderie			positive		0.727
broiled_fish			positive		0.047
broiler_pan			negative		-0.78
broke				negative		-0.84
broke_apart			negative		-0.01
broke_away			positive		0.849
broken				negative		-0.85
broken-down			negative		-0.79
broken_ankle			positive		0.86
broken_arm			negative		-0.13
broken_bone			negative		-0.84
broken_bottle			negative		-0.09
broken_car			negative		-0.86
broken_clavicle			negative		-0.85
broken_collar_bone		positive		0.86
broken_collarbone		negative		-0.85
broken_computer			negative		-0.86
broken_elbow			negative		-0.85
broken_engine			negative		-0.85
broken_femur			negative		-0.86
broken_fibula			negative		-0.85
broken_finger			negative		-0.86
broken_glass			negative		-0.28
broken_guitar			negative		-0.74
broken_heart			negative		-0.76
broken_hip			negative		-0.69
broken_home			negative		-0.90
broken_jaw			negative		-0.85
broken_law			negative		-0.05
broken_leg			negative		-0.75
broken_limb			negative		-0.81
broken_neck			negative		-0.07
broken_nose			negative		-0.08
broken_rib			positive		0.86
broken_shelf			negative		-0.85
broken_taillight		positive		0.069
broken_teeth			negative		-0.08
broken_thumb			negative		-0.85
broken_toe			positive		0.86
broken_window			negative		-0.11
broken_wrist			negative		-0.85
brokenhearted			negative		-0.93
brokenheartedness		negative		-0.32
broker				positive		0.08
brokerage			negative		-0.89
brokerage_firm			negative		-0.89
brokerage_house			negative		-0.89
bromate				negative		-0.06
bromeliaceae			negative		-0.73
bromide				negative		-0.01
bromide_ion			negative		-0.01
bromination			negative		-0.01
bromine				negative		-0.01
bromine_atom			negative		-0.01
bromocriptine_parlodel		negative		-0.67
bromus				negative		-0.66
bromus_inermis			negative		-0.66
bronchial_pneumonia		negative		-0.75
bronchial_secretion		negative		-0.05
bronchial_tube			negative		-0.05
bronchiole			negative		-0.05
bronchiolitis			negative		-0.81
bronchitis			negative		-0.81
bronchopneumonia		negative		-0.75
bronchopulmonary_dysplasia	negative		-0.81
bronchopulmonary_dysplasia_bpd	negative		-0.81
bronchoscope			positive		0.173
bronco				negative		-0.81
bronislava_nijinska		positive		0.09
brontoscorpio			negative		-0.87
bronx_cheer			negative		-0.71
bronze				positive		0.803
bronze_age_pottery		positive		0.071
bronze_birch_borer		negative		-0.71
bronze_bust			negative		-0.77
bronze_dagger			positive		0.071
bronze_fennel			negative		-0.94
bronze_marker			negative		-0.77
bronze_medal_bout		negative		-0.84
bronze_medallist		positive		0.06
bronze_memorial_plaque		positive		0.099
bronze_plaque			positive		0.099
bronze_plaques			positive		0.099
bronze_statue			negative		-0.77
bronze_tablet			negative		-0.77
bronze_vessel			negative		-0.10
bronzers			negative		-0.75
bronzing			negative		-0.80
brooch				negative		-0.96
brood				negative		-0.3
brood_cell			positive		0.063
brood_comb			positive		0.063
brood_cow			positive		0.683
brood_nest			positive		0.063
brooded_over			negative		-0.21
brooding			negative		-0.90
broody				positive		0.891
brook				negative		-0.80
brook_atkinson			positive		0.8
brook_flow_through		negative		-0.90
brook_join			negative		-0.90
brook_takahashi			positive		0.077
brook_trout			negative		-0.74
brook_utley			positive		0.837
brooklyn_atlantic		negative		-0.67
brooklyn_borough		positive		0.919
brooklyn_botanic_garden		positive		0.341
brooklyn_bridegroom		negative		-0.67
brooklyn_eagle			negative		-0.67
brooklyn_handicap		negative		-0.78
brooklyn_rapper			positive		0.948
brooklyn_subway_station		positive		0.919
brooklyn_superbas		negative		-0.67
broom_closet			positive		0.072
broom_handle			negative		-0.74
broomstick			positive		0.111
broon				positive		0.026
broth				positive		0.044
brothel				positive		0.841
brothel_madam			negative		-0.88
brothel_owner			negative		-0.88
brother				positive		0.821
brother_grimm			positive		0.096
brother_grimm_fairy_tale	positive		0.096
brother_sister			positive		0.875
brotherhood			positive		0.334
brotherly			positive		0.327
brotherly_love			positive		0.327
brough_scott			negative		-0.66
brouhaha			negative		-0.94
brow_horns			positive		0.034
brow_lift			positive		0.788
browbeat			negative		-0.83
browbeaten			negative		-0.83
browbeating			negative		-0.83
browlift			positive		0.788
brown				negative		-0.64
brown_ale			positive		0.037
brown_alga			negative		-0.72
brown_algae			negative		-0.64
brown_bear			positive		0.147
brown_bear_ursus		negative		-0.71
brown_curl			positive		0.258
brown_discoloration		negative		-0.81
brown_forman			positive		0.853
brown_fur			positive		0.147
brown_gravy			negative		-0.97
brown_hair			positive		0.943
brown_hamburger			negative		-0.06
brown_leaf			positive		0.05
brown_leather			positive		0.047
brown_meat			positive		0.047
brown_pigment			positive		0.098
brown_pigmentation		negative		-0.81
brown_plumage			negative		-0.73
brown_rot			negative		-0.85
brown_rot_brown_rot		negative		-0.85
brown_rot_gummosis		negative		-0.85
brown_sauce			positive		0.773
brown_seaweed			negative		-0.72
brown_stain			negative		-0.03
brown_stocking			negative		-0.67
brown_stripe			positive		0.82
brown_sugar_macchiato		positive		0.052
brown_trout			negative		-0.74
brown_upperparts		positive		0.032
brown_wrapping_paper		positive		0.357
brownie				positive		0.052
brownie_point			positive		0.845
brownie_wise			positive		0.18
brownish			negative		-0.87
brownish_black			negative		-0.61
brownish_color			negative		-0.81
brownish_grey			negative		-0.61
brownish_olive			positive		0.82
brownish_yellow			positive		0.357
brownness			negative		-0.64
brownstone			positive		0.943
browse				negative		-0.80
browse_web			positive		0.83
browser				negative		-0.77
browser_tab			negative		-0.08
browser_window			negative		-0.08
bruce_cockburn			positive		0.875
bruce_devlin			negative		-0.75
bruce_fein			positive		0.64
bruce_headley			positive		0.063
bruce_wayne			positive		0.092
brudder				positive		0.096
bruges				negative		-0.75
brugge				negative		-0.75
brugia_malayi			negative		-0.85
bruh				positive		0.096
bruise				negative		-0.93
bruised_knee			positive		0.86
bruised_rib			positive		0.86
bruised_right			negative		-0.72
bruiser				negative		-0.85
brumplum			negative		-0.78
brunauer			positive		0.131
brunch				positive		0.889
brunch_menu			positive		0.085
brunette			positive		0.027
bruno_bauer			positive		0.767
bruno_loubet			positive		0.881
brunt				negative		-0.81
bruschetta			positive		0.03
brush				positive		0.865
brush-off			negative		-0.91
brush_aside			negative		-0.35
brush_down			negative		-0.65
brush_hair			positive		0.853
brush_off			negative		-0.14
brush_rabbit			negative		-0.60
brush_stroke			positive		0.996
brush_strokes			positive		0.996
brush_tooth			positive		0.858
brushed				positive		0.825
brushed_aside			positive		0.325
brushes				positive		0.996
brushing_teeth			positive		0.042
brushless_dc_motor		positive		0.764
brushoff			negative		-0.91
brushstroke			positive		0.068
brushy				negative		-0.76
brusk				positive		0.714
brusque				negative		-0.85
brusquely			negative		-0.87
brusqueness			negative		-0.81
brutal				negative		-0.8
brutal_dictator			negative		-0.79
brutal_dictatorship		negative		-0.85
brutal_exploitation		negative		-0.87
brutal_honesty			positive		0.705
brutal_massacre			negative		-0.77
brutal_oppression		negative		-0.87
brutal_punishment		negative		-0.85
brutal_regime			negative		-0.79
brutal_suppression		positive		0.766
brutal_treatment		negative		-0.79
brutal_violence			negative		-0.77
brutalisation			negative		-0.79
brutalist			negative		-0.66
brutalities			negative		-0.82
brutality			negative		-0.79
brutalization			negative		-0.79
brutalize			negative		-0.78
brutally			negative		-0.91
brutally_cold			negative		-0.62
brutally_murder			negative		-0.47
brute				negative		-0.66
brute_creation			positive		0.655
brute_force			negative		-0.72
brute_force_attack		negative		-0.07
brute_strength			positive		0.76
brutish				negative		-0.90
brutishness			negative		-0.84
bryce_canyon			positive		0.05
bryde_whale			negative		-0.90
brynge				negative		-0.76
brytech				positive		0.131
brythunia			negative		-0.75
bse_agent			positive		0.905
bse_infected_cattle		positive		0.905
bse_infection			positive		0.905
bse_infectivity			positive		0.905
bse_prion			positive		0.905
bsendorfer			negative		-0.80
bsk_bora			positive		0.91
bt_openzone			negative		-0.87
bt_tower			negative		-0.66
btig_research			positive		0.711
bubba				positive		0.111
bubble				negative		-0.75
bubble_burst			negative		-0.75
bubble_dance			positive		0.959
bubble_gum			positive		0.052
bubble_pop			negative		-0.75
bubble_wrap			negative		-0.83
bubblegum			positive		0.052
bubbly				positive		0.886
bubo				negative		-0.73
bubonic				negative		-0.90
bubonic_plague			negative		-0.74
bubonic_plague_epidemic		negative		-0.74
buccaneer			negative		-0.81
bucchero			negative		-0.04
bucconidae_family		negative		-0.69
bucerotidae			negative		-0.69
buck				positive		0.081
buck_fever			negative		-0.78
buck_knife			positive		0.823
buck_naked			positive		0.076
buckaroo_banzai_across		positive		0.943
buckboard			positive		0.093
buckbrush			negative		-0.79
bucked_up			positive		0.288
bucket				negative		-0.89
bucket_overflow			negative		-0.90
buckhounds			positive		0.038
buckland_warricombe		negative		-0.78
buckle				positive		0.028
buckle_under			positive		0.895
buckled_shoes			negative		-0.67
buckling			negative		-0.77
buckshee			negative		-0.72
buckshot			negative		-0.86
buckskin			negative		-0.84
buckthorn_rhamnus		positive		0.779
buckweed_fire			negative		-0.03
buckwheat_noodles		negative		-0.03
bucolic				positive		0.808
bud				positive		0.096
bud_break			negative		-0.67
bud_fisher			negative		-0.73
bud_light			positive		0.851
bud_light_lime			positive		0.851
bud_vase			positive		0.883
buddah_record			positive		0.095
buddha				positive		0.094
buddha_bar			positive		0.926
buddha_nature			negative		-0.72
buddha_teach			negative		-0.86
buddhist			positive		0.063
budding				negative		-0.69
buddy				positive		0.111
buddy_comedy			negative		-0.33
buddy_list			negative		-0.65
budget				positive		0.072
budget_allocation		positive		0.072
budget_conscious		positive		0.88
budget_cuts			negative		-0.86
budget_deficit			positive		0.072
budget_horror_movie		negative		-0.09
budget_projection		positive		0.072
budget_proposal			positive		0.072
budget_request			positive		0.072
budget_sequestration		negative		-0.86
budget_shortfall		positive		0.072
budgetary			positive		0.072
budgetary_self_reliance		positive		0.909
budgeted_amount			positive		0.127
budgeting_process		positive		0.072
budunost			positive		0.91
budunost_podgorica		positive		0.91
budweiser			positive		0.851
budweiser_beer			positive		0.851
budwood				positive		0.857
buelow				negative		-0.59
buen_retiro			positive		0.09
buff				negative		-0.64
buff_orpington			positive		0.048
buff_underpart			negative		-0.73
buffalo_coach_lindy		positive		0.045
buffalo_hide			positive		0.047
buffalo_horn			positive		0.047
buffalo_milk			positive		0.032
buffalo_robe			positive		0.047
buffalo_skin			positive		0.899
buffer				negative		-0.1
buffer_overflow			negative		-0.07
buffer_overflow_attack		negative		-0.07
buffer_overflow_vulnerability	negative		-0.07
buffer_overrun			negative		-0.07
buffers				negative		-0.1
buffet				positive		0.085
buffet_breakfast		positive		0.867
buffet_car			negative		-0.63
buffet_dinner			positive		0.867
buffet_lunch			positive		0.867
buffet_meal			positive		0.085
buffet_restaurant		positive		0.085
buffet_style			positive		0.085
buffet_table			positive		0.085
buffet_tables			positive		0.085
buffeted_by			positive		0.126
buffoon				positive		0.07
buffoonery			positive		0.869
buffoonish			negative		-0.81
bug				negative		-0.03
bug_bite			negative		-0.08
bug_bunny			positive		0.072
bug_bunny_cartoon		positive		0.072
bug_fix				negative		-0.81
bug_fixes			negative		-0.58
bug_person			positive		0.897
bug_repellent			negative		-0.31
bug_repellents			negative		-0.31
bug_spray			negative		-0.31
bug_zapper			negative		-0.31
bugfix				negative		-0.58
bugger				negative		-0.16
bugger_all			negative		-0.72
bugger_off			negative		-0.76
buggery				negative		-0.85
buggery_act			negative		-0.85
bugginess			positive		0.776
buggy				negative		-0.93
bugle				positive		0.027
bugloss				negative		-0.34
bugsey				negative		-0.83
buick				negative		-0.08
buick_roadmaster		negative		-0.08
build				positive		0.823
build-up			negative		-0.81
build_block			positive		0.936
